day,month,year,plot,subplot,focal,seeds.fruit,fruits,fruits.panicle,observers,person.who.counts
20,4,2021,8,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,4,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,1,C5,LEMA,NA,NA,NA,Maria,
20,4,2021,3,C6,LEMA,NA,NA,NA,Maria,
20,4,2021,6,B3,LEMA,NA,NA,NA,Maria,
20,4,2021,3,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,6,B2,CHFU,62,NA,NA,Maria,Maria
20,4,2021,7,C1,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A2,LEMA,NA,NA,NA,Maria,
20,4,2021,5,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,5,A4,SOAS,NA,NA,NA,Maria,
20,4,2021,5,A4,LEMA,NA,NA,NA,Maria,
20,4,2021,5,A4,SCLA,NA,NA,NA,Maria,
20,4,2021,5,B5,SCLA,NA,NA,NA,Maria,
20,4,2021,5,B1,SOAS,NA,NA,NA,Maria,
20,4,2021,1,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,1,B4,CHFU,NA,NA,NA,Maria,
20,4,2021,1,B4,LEMA,NA,NA,NA,Maria,
20,4,2021,1,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,9,F3,PLCO,NA,NA,NA,Maria,
20,4,2021,9,F3,POMA,NA,NA,NA,Maria,
20,4,2021,9,E2,SPRU,NA,NA,NA,Maria,
20,4,2021,9,F1,POMA,NA,NA,NA,Maria,
20,4,2021,9,F1,SPRU,NA,NA,NA,Maria,
20,4,2021,1,A3,LEMA,NA,NA,NA,Maria,
20,4,2021,1,A5,CHFU,NA,NA,NA,Maria,
20,4,2021,1,A6,LEMA,NA,NA,NA,Maria,
20,4,2021,1,B5,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A5,PLCO,NA,NA,NA,Maria,
20,4,2021,8,A5,MESU,NA,NA,NA,Maria,
20,4,2021,8,A6,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A6,PLCO,NA,NA,NA,Maria,
20,4,2021,8,B5,LEMA,NA,NA,NA,Maria,
20,4,2021,8,B6,LEMA,NA,NA,NA,Maria,
20,4,2021,8,C6,LEMA,NA,NA,NA,Maria,
20,4,2021,8,C5,LEMA,NA,NA,NA,Maria,
20,4,2021,8,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,8,B4,LEMA,NA,NA,NA,Maria,
20,4,2021,8,B3,LEMA,NA,NA,NA,Maria,
20,4,2021,8,C3,LEMA,NA,NA,NA,Maria,
20,4,2021,8,C2,LEMA,NA,NA,NA,Maria,
20,4,2021,8,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A1,SPRU,NA,NA,NA,Maria,
20,4,2021,5,C2,LEMA,NA,NA,NA,Maria,
20,4,2021,5,C1,LEMA,NA,NA,NA,Maria,
20,4,2021,7,C6,LEMA,NA,NA,NA,Maria,
20,4,2021,1,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,7,B5,LEMA,NA,NA,NA,Maria,
20,4,2021,7,C5,LEMA,NA,NA,NA,Maria,
20,4,2021,4,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,7,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,7,B4,LEMA,NA,NA,NA,Maria,
20,4,2021,7,B3,LEMA,NA,NA,NA,Maria,
20,4,2021,7,C3,LEMA,NA,NA,NA,Maria,
20,4,2021,7,C2,LEMA,NA,NA,NA,Maria,
20,4,2021,1,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,1,C3,LEMA,NA,NA,NA,Maria,
20,4,2021,6,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,7,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,6,B1,CHFU,NA,NA,NA,Maria,
20,4,2021,4,B4,LEMA,NA,NA,NA,Maria,
20,4,2021,4,C3,LEMA,NA,NA,NA,Maria,
20,4,2021,4,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,5,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,4,C2,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A3,MESU,NA,NA,NA,Maria,
20,4,2021,4,C1,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A2,PLCO,NA,NA,NA,Maria,
20,4,2021,8,A4,LEMA,NA,NA,NA,Maria,
20,4,2021,7,B1,LEMA,NA,NA,NA,Maria,
20,4,2021,1,C3,CHFU,NA,NA,NA,Maria,
20,4,2021,6,C6,LEMA,NA,NA,NA,Maria,
20,4,2021,6,B6,LEMA,NA,NA,NA,Maria,
20,4,2021,6,A6,SOAS,NA,NA,NA,Maria,
20,4,2021,4,A6,LEMA,NA,NA,NA,Maria,
20,4,2021,4,B6,CHFU,NA,NA,NA,Maria,
20,4,2021,8,C1,LEMA,NA,NA,NA,Maria,
20,4,2021,4,C5,SOAS,NA,NA,NA,Maria,
20,4,2021,7,B6,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A6,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A5,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A3,LEMA,NA,NA,NA,Maria,
20,4,2021,7,A4,LEMA,NA,NA,NA,Maria,
20,4,2021,2,A3,LEMA,NA,NA,NA,Maria,
20,4,2021,2,A5,LEMA,NA,NA,NA,Maria,
20,4,2021,2,A6,LEMA,NA,NA,NA,Maria,
20,4,2021,2,B2,LEMA,NA,NA,NA,Maria,
20,4,2021,6,A5,CHFU,NA,NA,NA,Maria,
20,4,2021,6,A4,LEMA,NA,NA,NA,Maria,
20,4,2021,6,A2,CHFU,NA,NA,NA,Maria,
20,4,2021,6,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,4,A3,LEMA,NA,NA,NA,Maria,
20,4,2021,4,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A2,LEMA,NA,NA,NA,Maria,
20,4,2021,4,A2,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,5,C3,LEMA,NA,NA,NA,Maria,
20,4,2021,5,C4,LEMA,NA,NA,NA,Maria,
20,4,2021,5,B5,LEMA,NA,NA,NA,Maria,
20,4,2021,5,C5,LEMA,NA,NA,NA,Maria,
20,4,2021,2,B4,LEMA,NA,NA,NA,Maria,
20,4,2021,2,B3,LEMA,NA,NA,NA,Maria,
20,4,2021,2,C2,LEMA,NA,NA,NA,Maria,
20,4,2021,5,A1,LEMA,NA,NA,NA,Maria,
20,4,2021,8,A2,SPRU,NA,NA,NA,Maria,
17,3,2021,8,E2,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F1,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F2,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F4,CHFU,NA,NA,NA,Maria,
17,3,2021,8,E6,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D6,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D5,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F3,CHFU,NA,NA,NA,Maria,
17,3,2021,8,E1,CHFU,65,NA,NA,Maria,Maria
17,3,2021,8,E3,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F5,CHFU,NA,NA,NA,Maria,
17,3,2021,8,C5,CHFU,NA,NA,NA,Maria,
17,3,2021,8,C4,CHFU,NA,NA,NA,Maria,
17,3,2021,8,F6,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D4,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D3,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D2,CHFU,NA,NA,NA,Maria,
17,3,2021,8,D1,CHFU,NA,NA,NA,Maria,
17,3,2021,8,C1,CHFU,NA,NA,NA,Maria,
17,3,2021,8,C2,CHFU,NA,NA,NA,Maria,
17,3,2021,8,B3,CHFU,NA,NA,NA,Maria,
17,3,2021,8,A4,CHFU,NA,NA,NA,Maria,
17,3,2021,8,A3,CHFU,39,NA,NA,Maria,Maria
17,3,2021,8,A1,CHFU,16,NA,NA,Maria,Maria
17,3,2021,8,A2,CHFU,NA,NA,NA,Maria,
17,3,2021,8,A5,CHFU,25,NA,NA,Maria,Maria
17,3,2021,8,A6,CHFU,NA,NA,NA,Maria,
17,3,2021,8,E5,CHFU,9,NA,NA,Maria,Maria
17,3,2021,9,F5,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E4,CHFU,NA,NA,NA,Maria,
17,3,2021,9,F6,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E6,CHFU,NA,NA,NA,Maria,
17,3,2021,9,F2,CHFU,NA,NA,NA,Maria,
17,3,2021,9,F1,CHFU,NA,NA,NA,Maria,
17,3,2021,9,D1,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E1,CHFU,NA,NA,NA,Maria,
17,3,2021,9,F3,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E5,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E2,CHFU,NA,NA,NA,Maria,
17,3,2021,9,E3,CHFU,NA,NA,NA,Maria,
17,3,2021,9,F4,CHFU,NA,NA,NA,Maria,
17,3,2021,9,A6,CHFU,NA,NA,NA,Maria,
17,3,2021,9,D6,CHFU,NA,NA,NA,Maria,
17,3,2021,9,C5,CHFU,NA,NA,NA,Maria,
17,3,2021,9,D5,CHFU,NA,NA,NA,Maria,
17,3,2021,9,D4,CHFU,NA,NA,NA,Maria,
17,3,2021,9,D3,CHFU,NA,NA,NA,Maria,
17,3,2021,9,C3,CHFU,NA,NA,NA,Maria,
17,3,2021,9,C2,CHFU,32,NA,NA,Maria,Maria
17,3,2021,9,D2,CHFU,NA,NA,NA,Maria,
17,3,2021,1,D2,CHFU,NA,NA,NA,Maria,
17,3,2021,1,C3,CHFU,NA,NA,NA,Maria,
17,3,2021,1,F4,CHFU,NA,NA,NA,Maria,
17,3,2021,1,D1,CHFU,NA,NA,NA,Maria,
